Group,Species,Major_group
Bryophytes,Dicranum montanum,LOWER_PLANTS
Bryophytes,Dicranum scoparium,LOWER_PLANTS
Bryophytes,Dicranum scottianum,LOWER_PLANTS
Bryophytes,Dicranum spurium,LOWER_PLANTS
Bryophytes,Dicranum tauricum,LOWER_PLANTS
Bryophytes,Didymodon acutus,LOWER_PLANTS
Bryophytes,Didymodon fallax,LOWER_PLANTS
Bryophytes,Didymodon ferrugineus,LOWER_PLANTS
Bryophytes,Didymodon insulanus,LOWER_PLANTS
Bryophytes,Didymodon luridus,LOWER_PLANTS
Bryophytes,Didymodon nicholsonii,LOWER_PLANTS
Bryophytes,Didymodon rigidulus,LOWER_PLANTS
Bryophytes,Didymodon sinuosus,LOWER_PLANTS
Bryophytes,Didymodon spadiceus,LOWER_PLANTS
Bryophytes,Didymodon tophaceus,LOWER_PLANTS
Bryophytes,Didymodon umbrosus,LOWER_PLANTS
Bryophytes,Didymodon vinealis,LOWER_PLANTS
Bryophytes,Diphyscium foliosum,LOWER_PLANTS
Bryophytes,Diplophyllum albicans,LOWER_PLANTS
Bryophytes,Distichium capillaceum,LOWER_PLANTS
Bryophytes,Distichium inclinatum,LOWER_PLANTS
Bryophytes,Ditrichum flexicaule s.l.,LOWER_PLANTS
Bryophytes,Ditrichum heteromallum,LOWER_PLANTS
Bryophytes,Ditrichum zonatum,LOWER_PLANTS
Bryophytes,Douinia ovata,LOWER_PLANTS
Bryophytes,Drepanocladus aduncus,LOWER_PLANTS
Bryophytes,Drepanocladus polygamus,LOWER_PLANTS
Bryophytes,Drepanolejeunea hamatifolia,LOWER_PLANTS
Bryophytes,Encalypta ciliata,LOWER_PLANTS
Bryophytes,Encalypta streptocarpa,LOWER_PLANTS
Bryophytes,Encalypta vulgaris,LOWER_PLANTS
Bryophytes,Entodon concinnus,LOWER_PLANTS
Bryophytes,Entosthodon attenuatus,LOWER_PLANTS
Bryophytes,Entosthodon muhlenbergii,LOWER_PLANTS
Bryophytes,Entosthodon obtusus,LOWER_PLANTS
Bryophytes,Ephemerum recurvifolium,LOWER_PLANTS
Bryophytes,Ephemerum serratum s.l.,LOWER_PLANTS
Bryophytes,Epipterygium tozeri,LOWER_PLANTS
Bryophytes,Eucladium verticillatum,LOWER_PLANTS
Bryophytes,Eurhynchium striatum,LOWER_PLANTS
Bryophytes,Fissidens adianthoides,LOWER_PLANTS
Bryophytes,Fissidens bryoides s.l.,LOWER_PLANTS
Bryophytes,Fissidens celticus,LOWER_PLANTS
Bryophytes,Fissidens crassipes,LOWER_PLANTS
Bryophytes,Fissidens dubius,LOWER_PLANTS
Bryophytes,Fissidens exilis,LOWER_PLANTS
Bryophytes,Fissidens fontanus,LOWER_PLANTS
Bryophytes,Fissidens incurvus,LOWER_PLANTS
Bryophytes,Fissidens osmundoides,LOWER_PLANTS
Bryophytes,Fissidens rivularis,LOWER_PLANTS
